2024-04-15,MLB,Cleveland,True,13.8,True,4.6782
2024-04-15,MLB,Minnesota,False,10.533333333333331,True,5.9986
2024-04-15,MLB,Colorado,True,5.466666666666666,True,4.87395
2024-04-15,MLB,Texas,False,3.733333333333333,True,4.771575
2024-04-15,MLB,LA Angels,True,12.2,True,5.6215
2024-04-15,MLB,Toronto,True,3.0,True,3.0291749999999995
2024-04-15,MLB,Pittsburgh,False,13.666666666666666,True,5.47255
2024-04-15,MLB,San Diego,True,2.0,True,5.643775
2024-04-15,MLB,Kansas City,True,5.2,True,4.852225
2024-04-15,MLB,Atlanta,True,2.333333333333333,False,6.178599999999999
2024-04-15,MLB,St. Louis,True,4.666666666666667,False,5.186125
2024-04-15,MLB,Chi Cubs,True,2.8666666666666663,True,4.400325
2024-04-15,MLB,Cincinnati,False,14.2,True,5.55355
2024-04-15,MLB,Washington,True,5.533333333333333,True,6.405175
2024-04-15,MLB,Cleveland,True,13.8,True,4.6782
2024-04-15,MLB,Minnesota,False,10.533333333333331,True,5.9986
2024-04-15,MLB,Colorado,True,5.466666666666666,True,4.87395
2024-04-15,MLB,Texas,False,3.733333333333333,True,4.771575
2024-04-15,MLB,LA Angels,True,12.2,True,5.6215
2024-04-15,MLB,Toronto,True,3.0,True,3.0291749999999995
2024-04-15,MLB,Pittsburgh,False,13.666666666666666,True,5.47255
2024-04-15,MLB,San Diego,True,2.0,True,5.643775
2024-04-15,MLB,Kansas City,True,5.2,True,4.852225
2024-04-15,MLB,Atlanta,True,2.333333333333333,False,6.178599999999999
2024-04-15,MLB,St. Louis,True,4.666666666666667,False,5.186125
2024-04-15,MLB,Chi Cubs,True,2.8666666666666663,True,4.400325
2024-04-15,MLB,Cincinnati,False,14.2,True,5.55355
2024-04-15,MLB,Washington,True,5.533333333333333,True,6.405175
