League,TotalRatingWindow,TotalScoreAvg,BetCount,xHitRate
MLB,Out of defined range,0.6765883239768027,39,0.46153846153846156
MLB,Over 6.0-6.19,0.27730736810109297,31,0.25806451612903225
MLB,Over 6.2-6.39,0.022845780091976613,9,0.3333333333333333
MLB,Over 6.4-6.59,0.16114490307872056,8,0.5
MLB,Over 6.6-6.79,0.3968200261471028,3,1.0
MLB,Over 6.8-6.99,0.020294617793656388,3,0.6666666666666666
MLB,Over 7-7.19,0.0,1,0.0
MLB,Over 7.8-7.99,0.0,1,0.0
MLB,Over 8.4-8.59,2.586504233669237,3,0.6666666666666666
MLB,Over 8.6-8.79,2.670783537435254,2,1.0
MLB,Over 9.2-9.5,0.0,2,0.0
MLB,Under 2.8-2.99,0.06035986178803022,1,1.0
MLB,Under 3.0-3.19,0.03305349409767142,2,1.0
MLB,Under 3.2-3.39,0.009007869632504868,3,0.3333333333333333
MLB,Under 3.4-3.59,0.1795191978159124,5,0.6
MLB,Under 3.6-3.79,0.10365823836678396,10,0.5
MLB,Under 3.8-3.99,0.17075655346920673,14,0.35714285714285715
MLB,Under 4.0-4.19,0.40991126514175386,16,0.5625
MLB,Under 4.2-4.39,0.23446017788978923,25,0.4
MLB,Under 4.4-4.59,0.26371998072811986,35,0.5428571428571428
MLB,Under 4.6-4.79,0.1862832588779731,41,0.5121951219512195
MLB,Under 4.8-4.99,0.28394271083121475,89,0.42696629213483145
MLB,Under 5.0-5.19,0.47621087497977155,102,0.5098039215686274
MLB,Under 5.2-5.39,0.5698246432056663,111,0.4594594594594595
MLB,Under 5.4-5.59,0.44077211223338175,100,0.47
MLB,Under 5.6-5.79,0.4225992088515616,61,0.4426229508196721
MLB,Under 5.8-5.99,0.4481709562755252,56,0.5
NBA,Out of defined range,0.718379002656265,6,0.5
NBA,Under 4.8-4.99,0.0371466256142796,5,0.6
NBA,Under 5.0-5.19,0.004784330253073749,12,0.16666666666666666
NBA,Under 5.2-5.39,0.048493528491068354,23,0.391304347826087
NBA,Under 5.4-5.59,0.0652769428931597,20,0.5
NBA,Under 5.6-5.79,0.16716975891337751,21,0.3333333333333333
NBA,Under 5.8-5.99,0.2817753977755527,6,0.6666666666666666
