League,CoverRatingWindow,CoverScoreAvg,BetCount,xHitRate
MLB,0.0-1.0,0.04739274044541677,57,0.543859649122807
MLB,1.0-2.0,0.13977213299259073,75,0.5733333333333334
MLB,10.0-11.0,1.190497353344349,41,0.4878048780487805
MLB,11.0-12.0,1.184807529415819,53,0.49056603773584906
MLB,12.0-13.0,0.06713442277283563,15,0.4666666666666667
MLB,13.0-14.0,0.1241139502933432,6,0.8333333333333334
MLB,14.0-15.0,0.07887387542152037,2,0.5
MLB,2.0-3.0,0.24579964342115423,116,0.46551724137931033
MLB,3.0-4.0,0.21689669609683201,101,0.49504950495049505
MLB,4.0-5.0,0.35715464501712546,52,0.5192307692307693
MLB,5.0-6.0,0.44902134798012244,59,0.5254237288135594
MLB,6.0-7.0,0.6158172413906966,47,0.723404255319149
MLB,7.0-8.0,0.2275097935137006,46,0.45652173913043476
MLB,8.0-9.0,0.46732867759127683,21,0.42857142857142855
MLB,9.0-10.0,0.6243453609952103,26,0.5
NBA,0.0-1.0,0.014521527624737319,10,0.4
NBA,1.0-2.0,0.01452752002817965,24,0.4166666666666667
NBA,2.0-3.0,0.05822469230067563,13,0.38461538461538464
NBA,3.0-4.0,0.16532863684133814,20,0.35
NBA,4.0-5.0,0.29483546218011203,14,0.6428571428571429
NBA,5.0-6.0,0.0515943649726488,4,0.75
NBA,6.0-7.0,0.0335211539870242,3,0.6666666666666666
NBA,7.0-8.0,0.04143168850440309,3,0.3333333333333333
